Pincode_Id,Pincode,City,"Werehouse Code","Updated By",Date,Status
2292,412111,pune,midc,,"2024-02-04 05:28:26",1
2302,412114,pune,midc,,"2024-02-04 05:28:26",1
2309,412115,pune,midc,,"2024-02-04 05:28:26",1
2314,412119,pune,midc,,"2024-02-04 05:28:26",1
2319,412201,pune,midc,,"2024-02-04 05:28:26",1
2326,412202,pune,midc,,"2024-02-04 05:28:26",1
2333,412203,pune,midc,,"2024-02-04 05:28:26",1
2341,412205,pune,midc,,"2024-02-04 05:28:26",1
2348,412209,pune,midc,,"2024-02-04 05:28:26",1
2354,412210,pune,midc,,"2024-02-04 05:28:26",1
2365,412214,pune,midc,,"2024-02-04 05:28:26",1
2376,412220,pune,midc,,"2024-02-04 05:28:26",1
2382,412301,pune,midc,,"2024-02-04 05:28:26",1
2393,412303,pune,midc,,"2024-02-04 05:28:26",1
2409,412307,pune,midc,,"2024-02-04 05:28:26",1
2418,412308,pune,midc,,"2024-02-04 05:28:26",1
2423,412309,pune,midc,,"2024-02-04 05:28:26",1
2426,412310,pune,midc,,"2024-02-04 05:28:26",1
2444,412407,pune,midc,,"2024-02-04 05:28:26",1
2455,412412,pune,midc,,"2024-02-04 05:28:26",1
2474,422001,nashik,midc,,"2024-02-04 05:28:26",1
2483,422002,nashik,midc,,"2024-02-04 05:28:26",1
2492,422003,nashik,midc,,"2024-02-04 05:28:26",1
2501,422004,nashik,midc,,"2024-02-04 05:28:26",1
2510,422005,nashik,midc,,"2024-02-04 05:28:26",1
2519,422006,nashik,midc,,"2024-02-04 05:28:26",1
2527,422007,nashik,midc,,"2024-02-04 05:28:26",1
2536,422008,nashik,midc,,"2024-02-04 05:28:26",1
2545,422009,nashik,midc,,"2024-02-04 05:28:26",1
2554,422010,nashik,midc,,"2024-02-04 05:28:26",1
2563,422011,nashik,midc,,"2024-02-04 05:28:26",1
2572,422012,nashik,midc,,"2024-02-04 05:28:26",1
2581,422013,nashik,midc,,"2024-02-04 05:28:26",1
2590,422101,nashik,midc,,"2024-02-04 05:28:26",1
2598,422102,nashik,midc,,"2024-02-04 05:28:26",1
2608,422106,nashik,midc,,"2024-02-04 05:28:26",1
2611,422107,nashik,midc,,"2024-02-04 05:28:26",1
2614,422108,nashik,midc,,"2024-02-04 05:28:26",1
2617,422111,nashik,midc,,"2024-02-04 05:28:26",1
2625,422202,nashik,midc,,"2024-02-04 05:28:26",1
2641,422206,nashik,midc,,"2024-02-04 05:28:26",1
2649,422207,nashik,midc,,"2024-02-04 05:28:26",1
2657,422209,nashik,midc,,"2024-02-04 05:28:26",1
2682,422217,nashik,midc,,"2024-02-04 05:28:26",1
2685,422220,nashik,midc,,"2024-02-04 05:28:26",1
2703,422401,nashik,midc,,"2024-02-04 05:28:26",1
2708,422405,nashik,midc,,"2024-02-04 05:28:26",1
2713,422501,nashik,midc,,"2024-02-04 05:28:26",1
2723,422503,nashik,midc,,"2024-02-04 05:28:26",1
2732,400201,thane,midc,,"2024-02-04 05:28:26",1
2736,400207,thane,midc,,"2024-02-04 05:28:26",1
2739,400208,thane,midc,,"2024-02-04 05:28:26",1
2740,400209,thane,midc,,"2024-02-04 05:28:26",1
2746,400601,thane,midc,,"2024-02-04 05:28:26",1
2755,400602,thane,midc,,"2024-02-04 05:28:26",1
2764,400603,thane,midc,,"2024-02-04 05:28:26",1
2773,400604,thane,midc,,"2024-02-04 05:28:26",1
2782,400605,thane,midc,,"2024-02-04 05:28:26",1
2791,400606,thane,midc,,"2024-02-04 05:28:26",1
2800,400607,thane,midc,,"2024-02-04 05:28:26",1
2809,400608,thane,midc,,"2024-02-04 05:28:26",1
2818,400609,thane,midc,,"2024-02-04 05:28:26",1
2826,400610,thane,midc,,"2024-02-04 05:28:26",1
2835,400611,thane,midc,,"2024-02-04 05:28:26",1
2842,400614,thane,midc,,"2024-02-04 05:28:26",1
2851,400615,thane,midc,,"2024-02-04 05:28:26",1
2857,400617,thane,midc,,"2024-02-04 05:28:26",1
2864,400703,thane,midc,,"2024-02-04 05:28:26",1
2873,400705,thane,midc,,"2024-02-04 05:28:26",1
2882,400706,thane,midc,,"2024-02-04 05:28:26",1
2891,401101,thane,midc,,"2024-02-04 05:28:26",1
2899,401105,thane,midc,,"2024-02-04 05:28:26",1
2919,401301,thane,midc,,"2024-02-04 05:28:26",1
2931,420421,thane,midc,,"2024-02-04 05:28:26",1
2939,421103,thane,midc,,"2024-02-04 05:28:26",1
2947,421202,thane,midc,,"2024-02-04 05:28:26",1
2954,421203,thane,midc,,"2024-02-04 05:28:26",1
2961,421302,thane,midc,,"2024-02-04 05:28:26",1
2968,421305,thane,midc,,"2024-02-04 05:28:26",1
2971,421307,thane,midc,,"2024-02-04 05:28:26",1
2976,421308,thane,midc,,"2024-02-04 05:28:26",1
2981,421311,thane,midc,,"2024-02-04 05:28:26",1
